====================================================================================================
Optimizer       | Alpha  | C     | LR     | Avg MSE         | Avg Time (ms)  
----------------------------------------------------------------------------------------------------
Gradient Descent | 1.0    | 0.2   | 0.0010 | 64.6332         | 50.29          
Gradient Descent | 1.0    | 0.2   | 0.0050 | 49.1639         | 50.30          
Gradient Descent | 1.0    | 0.2   | 0.0100 | 42.1679         | 50.60          
Gradient Descent | 1.0    | 0.2   | 0.0500 | 27.1828         | 50.14          
Gradient Descent | 1.0    | 0.5   | 0.0010 | 64.0650         | 49.81          
Gradient Descent | 1.0    | 0.5   | 0.0050 | 49.1944         | 50.66          
Gradient Descent | 1.0    | 0.5   | 0.0100 | 42.2221         | 50.05          
Gradient Descent | 1.0    | 0.5   | 0.0500 | 27.2217         | 50.50          
Gradient Descent | 1.0    | 0.8   | 0.0010 | 64.4500         | 50.12          
Gradient Descent | 1.0    | 0.8   | 0.0050 | 49.3864         | 50.49          
Gradient Descent | 1.0    | 0.8   | 0.0100 | 42.3837         | 50.16          
Gradient Descent | 1.0    | 0.8   | 0.0500 | 27.2946         | 49.82          
Gradient Descent | 10.0   | 0.2   | 0.0010 | 28.7571         | 51.01          
Gradient Descent | 10.0   | 0.2   | 0.0050 | 18.0861         | 51.14          
Gradient Descent | 10.0   | 0.2   | 0.0100 | 15.3562         | 50.21          
Gradient Descent | 10.0   | 0.2   | 0.0500 | 11.0526         | 50.94          
Gradient Descent | 10.0   | 0.5   | 0.0010 | 24.2734         | 49.89          
Gradient Descent | 10.0   | 0.5   | 0.0050 | 16.8972         | 49.98          
Gradient Descent | 10.0   | 0.5   | 0.0100 | 14.0759         | 50.23          
Gradient Descent | 10.0   | 0.5   | 0.0500 | 8.7673          | 50.24          
Gradient Descent | 10.0   | 0.8   | 0.0010 | 36.6528         | 50.76          
Gradient Descent | 10.0   | 0.8   | 0.0050 | 21.5854         | 50.69          
Gradient Descent | 10.0   | 0.8   | 0.0100 | 19.1208         | 50.43          
Gradient Descent | 10.0   | 0.8   | 0.0500 | 16.6123         | 50.85          
Gradient Descent | 25.0   | 0.2   | 0.0010 | 55.6909         | 50.03          
Gradient Descent | 25.0   | 0.2   | 0.0050 | 43.2121         | 50.46          
Gradient Descent | 25.0   | 0.2   | 0.0100 | 39.2941         | 50.42          
Gradient Descent | 25.0   | 0.2   | 0.0500 | 32.9682         | 50.75          
Gradient Descent | 25.0   | 0.5   | 0.0010 | 37.9204         | 50.05          
Gradient Descent | 25.0   | 0.5   | 0.0050 | 28.8652         | 50.92          
Gradient Descent | 25.0   | 0.5   | 0.0100 | 25.1260         | 50.58          
Gradient Descent | 25.0   | 0.5   | 0.0500 | 21.5846         | 50.68          
Gradient Descent | 25.0   | 0.8   | 0.0010 | 64.1252         | 50.46          
Gradient Descent | 25.0   | 0.8   | 0.0050 | 53.8215         | 51.27          
Gradient Descent | 25.0   | 0.8   | 0.0100 | 50.3191         | 50.27          
Gradient Descent | 25.0   | 0.8   | 0.0500 | 43.8310         | 50.33          
Gradient Descent | 50.0   | 0.2   | 0.0010 | 82.0011         | 50.42          
Gradient Descent | 50.0   | 0.2   | 0.0050 | 75.0133         | 50.95          
Gradient Descent | 50.0   | 0.2   | 0.0100 | 71.4600         | 50.21          
Gradient Descent | 50.0   | 0.2   | 0.0500 | 63.6331         | 51.09          
Gradient Descent | 50.0   | 0.5   | 0.0010 | 56.9098         | 50.37          
Gradient Descent | 50.0   | 0.5   | 0.0050 | 49.3003         | 51.79          
Gradient Descent | 50.0   | 0.5   | 0.0100 | 46.7632         | 50.23          
Gradient Descent | 50.0   | 0.5   | 0.0500 | 46.0372         | 50.91          
Gradient Descent | 50.0   | 0.8   | 0.0010 | 84.7688         | 50.03          
Gradient Descent | 50.0   | 0.8   | 0.0050 | 79.4410         | 50.87          
Gradient Descent | 50.0   | 0.8   | 0.0100 | 77.0732         | 50.78          
Gradient Descent | 50.0   | 0.8   | 0.0500 | 71.5378         | 51.15          
HyperGD         | 1.0    | 0.2   | 0.0010 | 66.2708         | 167.89         
HyperGD         | 1.0    | 0.2   | 0.0050 | 66.2708         | 167.34         
HyperGD         | 1.0    | 0.2   | 0.0100 | 66.2708         | 168.06         
HyperGD         | 1.0    | 0.2   | 0.0500 | 66.2708         | 166.94         
HyperGD         | 1.0    | 0.5   | 0.0010 | 64.9907         | 164.34         
HyperGD         | 1.0    | 0.5   | 0.0050 | 64.9907         | 167.81         
HyperGD         | 1.0    | 0.5   | 0.0100 | 64.9907         | 167.32         
HyperGD         | 1.0    | 0.5   | 0.0500 | 64.9907         | 167.56         
HyperGD         | 1.0    | 0.8   | 0.0010 | 65.6520         | 166.94         
HyperGD         | 1.0    | 0.8   | 0.0050 | 65.6520         | 168.12         
HyperGD         | 1.0    | 0.8   | 0.0100 | 65.6520         | 167.19         
HyperGD         | 1.0    | 0.8   | 0.0500 | 65.6520         | 169.91         
HyperGD         | 10.0   | 0.2   | 0.0010 | 46.8589         | 170.06         
HyperGD         | 10.0   | 0.2   | 0.0050 | 47.1638         | 165.78         
HyperGD         | 10.0   | 0.2   | 0.0100 | 47.2243         | 166.96         
HyperGD         | 10.0   | 0.2   | 0.0500 | 48.3424         | 166.12         
HyperGD         | 10.0   | 0.5   | 0.0010 | 36.3519         | 164.97         
