Optimizer,Alpha,C,LR,Avg MSE,Avg Time (ms)
Gradient Descent,1.0,0.2,0.0010,68.2962,2403.04
Gradient Descent,1.0,0.2,0.0050,64.3257,2988.94
Gradient Descent,1.0,0.2,0.0100,63.0655,2996.14
Gradient Descent,1.0,0.5,0.0010,68.0044,2428.12
Gradient Descent,1.0,0.5,0.0050,64.3505,2313.42
Gradient Descent,1.0,0.5,0.0100,63.0948,2982.58
Gradient Descent,1.0,0.8,0.0010,68.4132,2391.99
Gradient Descent,1.0,0.8,0.0050,64.4349,2517.36
Gradient Descent,1.0,0.8,0.0100,63.1608,3174.09
Gradient Descent,10.0,0.2,0.0010,59.7575,2630.15
Gradient Descent,10.0,0.2,0.0050,54.6431,2787.59
Gradient Descent,10.0,0.2,0.0100,50.5924,2709.15
Gradient Descent,10.0,0.5,0.0010,60.4015,2618.41
Gradient Descent,10.0,0.5,0.0050,55.3551,2737.57
Gradient Descent,10.0,0.5,0.0100,51.4104,2545.53
Gradient Descent,10.0,0.8,0.0010,61.2550,2663.94
Gradient Descent,10.0,0.8,0.0050,56.1732,2222.20
Gradient Descent,10.0,0.8,0.0100,52.3284,2570.36
Gradient Descent,50.0,0.2,0.0010,93.1965,2467.85
Gradient Descent,50.0,0.2,0.0050,87.9758,2726.07
Gradient Descent,50.0,0.2,0.0100,85.8169,2493.91
Gradient Descent,50.0,0.5,0.0010,53.2452,2696.76
Gradient Descent,50.0,0.5,0.0050,43.3550,2532.90
Gradient Descent,50.0,0.5,0.0100,41.9302,2489.22
Gradient Descent,50.0,0.8,0.0010,94.2321,2077.53
Gradient Descent,50.0,0.8,0.0050,89.3926,2307.93
Gradient Descent,50.0,0.8,0.0100,87.1399,2379.20
HyperGD,1.0,0.2,0.0010,67.5737,4752.12
HyperGD,1.0,0.2,0.0050,67.5737,4528.81
HyperGD,1.0,0.2,0.0100,67.5737,4489.01
HyperGD,1.0,0.5,0.0010,67.1180,4913.01
HyperGD,1.0,0.5,0.0050,67.1180,4580.88
HyperGD,1.0,0.5,0.0100,67.1180,4898.71
HyperGD,1.0,0.8,0.0010,67.6735,4336.70
HyperGD,1.0,0.8,0.0050,67.6735,4345.76
HyperGD,1.0,0.8,0.0100,67.6735,3982.66
HyperGD,10.0,0.2,0.0010,61.3046,4079.03
HyperGD,10.0,0.2,0.0050,61.1654,3621.97
HyperGD,10.0,0.2,0.0100,61.1061,3792.07
HyperGD,10.0,0.5,0.0010,60.5404,3558.81
HyperGD,10.0,0.5,0.0050,60.5339,3985.77
HyperGD,10.0,0.5,0.0100,60.5008,3762.89
HyperGD,10.0,0.8,0.0010,63.0995,4044.28
HyperGD,10.0,0.8,0.0050,63.0320,3799.35
HyperGD,10.0,0.8,0.0100,63.0048,4022.35
HyperGD,50.0,0.2,0.0010,87.4294,3638.08
HyperGD,50.0,0.2,0.0050,94.9148,3597.06
HyperGD,50.0,0.2,0.0100,96.8824,3431.48
HyperGD,50.0,0.5,0.0010,81.8580,3333.58
HyperGD,50.0,0.5,0.0050,84.4061,3036.99
HyperGD,50.0,0.5,0.0100,84.3328,3382.18
HyperGD,50.0,0.8,0.0010,90.1856,2142.87
HyperGD,50.0,0.8,0.0050,95.8471,2287.73
HyperGD,50.0,0.8,0.0100,97.8487,2351.16
L-BFGS,1.0,0.2,0.0010,67.5737,28.45
L-BFGS,1.0,0.2,0.0050,67.5737,35.66
L-BFGS,1.0,0.2,0.0100,67.5737,35.95
L-BFGS,1.0,0.5,0.0010,67.1180,38.33
L-BFGS,1.0,0.5,0.0050,67.1180,35.74
L-BFGS,1.0,0.5,0.0100,67.1180,28.31
L-BFGS,1.0,0.8,0.0010,67.6735,44.36
L-BFGS,1.0,0.8,0.0050,67.6735,31.09
L-BFGS,1.0,0.8,0.0100,67.6735,20.83
L-BFGS,10.0,0.2,0.0010,60.8672,100.27
L-BFGS,10.0,0.2,0.0050,60.8672,67.73
L-BFGS,10.0,0.2,0.0100,60.8672,116.79
L-BFGS,10.0,0.5,0.0010,60.3615,123.87
L-BFGS,10.0,0.5,0.0050,60.3615,127.98
L-BFGS,10.0,0.5,0.0100,60.3615,112.07
L-BFGS,10.0,0.8,0.0010,62.7025,93.20
L-BFGS,10.0,0.8,0.0050,62.7025,114.56
L-BFGS,10.0,0.8,0.0100,62.7025,104.08
L-BFGS,50.0,0.2,0.0010,85.2329,140.93
L-BFGS,50.0,0.2,0.0050,85.2329,149.30
L-BFGS,50.0,0.2,0.0100,85.2329,196.37
L-BFGS,50.0,0.5,0.0010,68.1837,169.76
L-BFGS,50.0,0.5,0.0050,68.1837,156.77
L-BFGS,50.0,0.5,0.0100,68.1837,175.71
L-BFGS,50.0,0.8,0.0010,87.3574,102.27
L-BFGS,50.0,0.8,0.0050,87.3574,164.50
