n,alpha,c,seed,algo,loss,time,lr,iters,mse
10,1.0,0.2,0,gd,2.6711013317108154,0.06931686401367188,0.001,500,0.26711013317108157
10,1.0,0.2,0,gd,1.638027310371399,0.0887906551361084,0.005,500,0.16380273103713988
10,5.0,0.95,0,gd,0.0007357326103374362,0.09430050849914551,0.001,500,7.357326103374362e-05
10,5.0,0.5,0,gd,0.05754463002085686,0.07733440399169922,0.01,500,0.005754463002085685
10,1.0,0.2,0,gd,0.972409188747406,0.0940546989440918,0.01,500,0.0972409188747406
10,10.0,0.2,0,gd,0.08211705833673477,0.10318827629089355,0.001,500,0.008211705833673477
10,10.0,0.95,0,gd,5.601957653311729e-08,0.1087498664855957,0.01,500,5.6019576533117285e-09
10,20.0,0.8,0,gd,1.266416035624121e-13,0.10125899314880371,0.001,500,1.266416035624121e-14
10,1.0,0.5,0,gd,1.4253698587417603,0.09556126594543457,0.005,500,0.14253698587417601
10,1.0,0.2,1,gd,0.972409188747406,0.11247134208679199,0.01,500,0.0972409188747406
10,1.0,0.5,1,gd,1.4253698587417603,0.11033391952514648,0.01,500,0.14253698587417601
10,1.0,0.8,0,gd,0.9611582159996033,0.09695219993591309,0.005,500,0.09611582159996032
10,1.0,0.5,0,gd,1.4253698587417603,0.11378335952758789,0.01,500,0.14253698587417601
10,1.0,0.5,0,gd,1.4253698587417603,0.09625864028930664,0.001,500,0.14253698587417601
10,5.0,0.2,0,gd,0.056057121604681015,0.10155916213989258,0.005,500,0.005605712160468101
10,1.0,0.8,0,gd,0.9611582159996033,0.10944533348083496,0.001,500,0.09611582159996032
10,1.0,0.2,0,gd,2.3574154376983643,0.18810510635375977,0.001,1000,0.23574154376983641
10,5.0,0.8,0,gd,0.003235037438571453,0.10614323616027832,0.005,500,0.0003235037438571453
10,5.0,0.95,0,gd,0.0007357326103374362,0.10479211807250977,0.005,500,7.357326103374362e-05
10,1.0,0.95,0,gd,0.7777673602104187,0.11732816696166992,0.01,500,0.07777673602104188
10,5.0,0.2,0,gd,0.48257601261138916,0.11776947975158691,0.001,500,0.04825760126113891
10,1.0,0.95,0,gd,0.7777673602104187,0.11965584754943848,0.001,500,0.07777673602104188
10,1.0,0.95,0,gd,0.7777673602104187,0.11942625045776367,0.005,500,0.07777673602104188
10,5.0,0.2,0,gd,0.024977395310997963,0.11661720275878906,0.01,500,0.002497739531099796
10,5.0,0.5,0,gd,0.05754463002085686,0.1169896125793457,0.001,500,0.005754463002085685
10,5.0,0.5,0,gd,0.05754463002085686,0.11649250984191895,0.005,500,0.005754463002085685
10,5.0,0.8,0,gd,0.003235037438571453,0.11902785301208496,0.001,500,0.0003235037438571453
10,10.0,0.2,0,gd,0.011804983019828796,0.1140909194946289,0.005,500,0.0011804983019828796
10,5.0,0.8,0,gd,0.003235037438571453,0.12001466751098633,0.01,500,0.0003235037438571453
